time_s,a_M_mps2,omega_delta_radps
39.78161621,-0.03622047424,0.1685306026
40.07819295,-0.03412799317,0.188246253
40.38950109,-0.03095885911,0.2057357596
40.69342923,-0.0267763402,0.2210115728
41.01780272,-0.02102162263,0.2290582632
41.31706619,-0.01394105469,0.2250353825
41.59085584,-0.007461678107,0.2051853448
41.90469527,-0.002733728568,0.1697023944
42.20968747,0.0004834393491,0.1213557453
42.53443599,0.002844800272,0.06675074545
42.82356691,0.007333431497,0.0179156162
43.10438251,0.01303865133,-0.02265493451
43.39620781,0.0197852715,-0.05262133081
43.70576239,0.025550794,-0.07291368048
44.02129602,0.03119671075,-0.08429928055
44.29562736,0.03629334012,-0.08935291822
44.60819483,0.04158735266,-0.08976135252
44.91900659,0.04579134343,-0.08814549492
45.3325491,0.05102435698,-0.08480773744
45.50624728,0.05756810303,-0.08347815637
45.78562808,0.06683855004,-0.08288086469
46.09504247,0.08108202456,-0.08655362232
46.40862393,0.1043733592,-0.09864182455
46.75741577,0.167312112,-0.1288352905
47.01588941,0.1407113331,-0.1338527218
47.27843094,0.067755602,-0.1233975105
47.58015323,9.857045113e-05,-0.111105273
47.87949586,-0.03538404972,-0.10464732
48.17489552,-0.04622310092,-0.1045220237
48.48371696,-0.04612303607,-0.1084946177
48.77357411,-0.043174446,-0.1135343586
49.08055019,-0.04066826693,-0.1159226559
49.37631249,-0.03914512944,-0.1119483443
49.6771791,-0.03802226294,-0.09844625378
49.9792583,-0.03661697278,-0.07340453831
50.27382731,-0.03481219313,-0.0366813136
50.5789485,-0.0327743759,0.009376918022
50.88211799,-0.03067169542,0.05986718602
51.17853737,-0.02811551174,0.1079844132
51.48190165,-0.02420236042,0.1465307253
51.77296615,-0.01822703058,0.1699001853
52.07767844,-0.011430796,0.1756596088
52.37572241,-0.005862125205,0.164870897
52.66837835,0.05592820603,0.1446535553
52.96874976,0.04201120913,0.1110240253
53.27241492,-0.0009060061618,0.0721390121
53.57129383,-0.0392259235,0.03515694536
53.87094569,-0.06285467286,0.004305269823
54.16667986,-0.07314905687,-0.018795662
54.4748807,-0.1492764773,-0.03311916518
54.77414894,-0.1336751762,-0.04128684059
55.07182074,-0.1041848375,-0.04480308152
55.3748095,-0.08431396765,-0.04505058444
55.67970037,-0.08037713783,-0.04315150167
55.97006536,-0.09830270931,-0.03996284812
56.27669072,-0.1460449727,-0.03608214144
56.57873607,-0.2178314875,-0.03181909797
56.86581063,-0.2818058954,-0.02732926107
57.18196154,-0.3020553161,-0.02286055541
57.4819808,-0.3001635897,-0.01876087133
57.78339553,-0.2573753451,-0.01548661512
58.0753324,-0.1012330503,-0.01301527783
58.38013387,-4.36796659e-06,-0.01103570613
58.67990661,-7.68736857e-07,-0.009338367231
58.97073579,-5.861529745e-07,-0.007824446948
59.28348804,-3.740448939e-07,-0.006451500356
59.58226967,-2.564797382e-07,-0.00520582418
59.89984775,-1.847575555e-07,-0.004084540147
60.18510413,-1.394289201e-07,-0.003086022912
60.48679066,-1.089721621e-07,-0.00220775428
60.78514886,-8.910677832e-08,-0.001444863803
61.08841205,-7.313165312e-08,-0.0007931049701
61.39481425,-6.086828609e-08,-0.0002463639167
61.69140983,-5.14507319e-08,0.0002030052755
61.99841189,-4.406183853e-08,0.0005635166383
62.28373957,-3.815800723e-08,0.0008440939082
62.58026171,-3.336631205e-08,0.001053739704
62.87543488,-2.942992168e-08,0.001201269548
63.18663692,-2.638680735e-08,0.00129406923
63.48186183,-2.363300969e-08,0.001340523688
63.78963661,-2.123530324e-08,0.001348714827
64.08157015,-1.918478902e-08,0.001325842851
64.38430238,-1.741758528e-08,0.001278313813
64.69012427,-1.588380624e-08,0.001211789394
64.98493052,-1.454407785e-08,0.001131225749
65.30710292,-1.336699124e-08,0.001040912608
65.60769272,-1.232724635e-08,0.0009445157447
65.8943603,-1.140428224e-08,0.0008451232545
66.20028663,-1.058139373e-08,0.0007452923998
66.49113297,-9.85292129e-09,0.0006469732601
66.81885147,-9.215758868e-09,0.0005515309222
67.0899663,-8.617970028e-09,0.0004606119964
67.38300967,-8.072284701e-09,0.0003753987521
67.6841321,-7.576819474e-09,0.0002966231742
67.99254489,-7.125609104e-09,0.0002246993233
