time_s,gB_physical_m2,gR_physical_m2,max_safety_slack_m2,solve_time_s,max_constraint_violation,avoidance_active
0,162.8152168,121.0555745,1.939448726e-05,0.07769745099,0,1
0.4793694019,158.903882,121.8987455,6.736717529e-06,0.259743418,0,1
0.6006727219,154.9079187,123.5703372,2.195880088e-05,0.07808787201,0,1
0.8871002197,151.0801742,126.3840534,1.783451756e-05,0.06510953401,0,1
1.185182333,147.6708379,129.6744519,2.213960975e-05,0.06456441397,0,1
1.473661184,144.7544739,130.947867,1.978927147e-05,0.05338222301,0,1
1.983551979,142.2122644,130.5652954,2.741514179e-05,0.263913802,0,1
2.313666105,139.8786782,129.6992428,6.736717819e-06,0.292164832,0,1
2.378355503,137.6313732,128.430483,1.359057295e-05,0.055479665,0,1
2.680329561,135.3803333,126.8493482,1.330190691e-05,0.05927950505,0,1
2.966848373,133.0941677,125.0645835,2.131287017e-05,0.04709145904,0,1
3.273689508,130.7567589,123.1414786,2.185573543e-05,0.05244640901,0,1
3.671385288,128.3662759,121.1173114,1.453583928e-05,0.151557811,0,1
3.870342731,125.925568,119.0050983,2.192451782e-05,0.05111671198,0,1
4.189121962,123.431003,116.4627088,1.355914116e-05,0.06837686,0,1
4.476191282,120.8833099,113.7948285,2.042379405e-05,0.056501641,0,1
4.775682449,118.2701566,110.9617999,2.042384723e-05,0.05441318703,0,1
5.076992989,115.5768019,107.9126849,1.948477192e-05,0.05620077101,0,1
5.374137163,112.7874627,104.6103142,2.207184048e-05,0.052735404,0,1
5.67125082,109.8807327,101.0284643,1.539119506e-05,0.04981798603,0,1
5.9741292,106.8334296,97.1594036,1.308507492e-05,0.05351074599,0,1
6.27729249,103.6321901,93.02337978,1.325048227e-05,0.05600762099,0,1
6.569483757,100.2539827,88.62993746,1.4987369e-05,0.04950763698,0,1
6.877344847,96.68874831,84.01159476,2.084790818e-05,0.05558941601,0,1
7.200018644,92.94400588,79.2758665,2.10773871e-05,0.07950594102,0,1
7.497422457,89.03587086,74.50858178,2.105509839e-05,0.07743850601,0,1
7.779371023,85.01223939,69.80442453,2.042380994e-05,0.05879026803,0,1
8.065618753,80.92240364,65.1940992,2.2270413e-05,0.04435364605,0,1
8.370592117,76.80593166,60.63435666,2.219203309e-05,0.04988691799,0,1
8.665901661,72.6672681,56.0635818,2.215275652e-05,0.04631443502,0,1
8.969478607,68.50781233,51.45721397,2.219888345e-05,0.047397963,0,1
9.270735741,64.33044759,46.83403729,2.225669187e-05,0.05036352598,0,1
9.565189362,60.12798349,42.23452979,2.228410561e-05,0.04483681999,0,1
9.864724159,55.91409975,37.73766045,2.230103276e-05,0.04526094702,0,1
10.164289,51.71166727,33.43533332,2.233362279e-05,0.04372543399,0,1
10.48734283,47.55827349,29.42363079,1.219586797e-05,0.06567727099,0,1
10.76635385,43.49495374,25.78282685,1.501159086e-05,0.045247245,0,1
11.06784606,39.56734561,22.57418026,1.499485529e-05,0.04655480396,0,1
11.36890364,35.82248513,19.83657666,1.500083436e-05,0.04572473501,0,1
11.67203403,32.2892859,17.57208698,1.502075706e-05,0.05197198497,0,1
11.96422648,28.99184455,15.76063202,1.504171366e-05,0.04473055003,0,1
12.26919365,25.9347781,14.3535589,1.410127952e-05,0.048718329,0,1
12.56806135,23.12840824,13.30269332,1.410590812e-05,0.04795784602,0,1
12.87188339,20.55958632,12.54549788,1.400008345e-05,0.05087390298,0,1
13.16451693,18.22761587,12.0400533,1.514579348e-05,0.04473901796,0,1
13.46793866,16.1239696,11.75180652,1.806675983e-05,0.04824581498,0,1
13.76703739,14.24326038,11.3425581,1.526891989e-05,0.04674065503,0,1
14.06272531,12.58101576,10.77941847,1.625098723e-05,0.04213822802,0,1
14.36971664,11.13405509,10.43175203,1.640084799e-05,0.04950158601,0,1
14.66414881,9.899571182,10.29893911,1.63363627e-05,0.04474616301,0,1
14.96643305,8.874437056,10.38138503,1.518006583e-05,0.04669260798,0,1
15.27240062,8.067273889,10.68777295,1.628998886e-05,0.05174258602,0,1
15.58949423,7.469019082,11.20863525,2.18787285e-05,0.06968422298,0,1
15.88108516,7.085186603,11.94300292,1.436355529e-05,0.05787583097,0,1
16.18669224,6.90515308,12.8734681,1.418128481e-05,0.06529650302,0,1
16.47519398,6.202074249,13.98465563,2.044877907e-05,0.05559718999,0,1
16.77584529,5.538829355,15.25540886,2.183687113e-05,0.05505746801,0,1
17.28390598,5.059260095,16.66528053,2.741575004e-05,0.261451886,0,1
17.58346534,4.757525636,18.19664562,2.741575962e-05,0.261837926,0,1
17.68975449,4.619799218,19.8254139,1.560794423e-05,0.06807896303,0,1
18.02880526,3.956798655,21.53053582,1.544186954e-05,0.106204191,0,1
18.31400108,3.349476158,23.2909753,1.993977855e-05,0.09291198396,0,1
18.77680302,2.906373795,25.09045015,2.741578425e-05,0.256168247,0,1
19.09561062,2.617081259,26.92226813,2.741578486e-05,0.275954282,0,1
19.38979602,2.473469498,28.79199541,2.74157851e-05,0.268190598,0,1
19.6823597,2.468911253,30.71845859,2.741577256e-05,0.262002231,0,1
19.7828846,2.593746452,32.72706094,1.61883695e-05,0.06131200603,0,1
20.08378458,2.845716032,34.84863164,2.192930841e-05,0.06279602298,0,1
20.37761736,3.217752316,37.10867743,2.171418501e-05,0.05588117195,0,1
