time_s,X_M_m,Y_M_m,psi_M_rad,v_M_mps,delta_R_rad
17.52965879,14.35506946,2.933191034,-0.2898810944,0.8458166153,0.0515390426
17.82887983,14.59622837,2.861819875,-0.2856134251,0.830840851,0.05018283328
18.13061666,14.83337005,2.79268703,-0.281833362,0.8159148819,0.04154449857
18.42926693,15.06652189,2.725545934,-0.2791711024,0.8015968804,0.02421488315
18.728688,15.29563161,2.660019612,-0.2783241029,0.7870428751,-0.002973624687
19.02886057,15.52053563,2.595612761,-0.2799689433,0.7725878701,-0.0393131259
19.32865548,15.74122763,2.531668458,-0.2846242622,0.7592075264,-0.08220878512
19.62930226,15.95796042,2.467391699,-0.2925758008,0.7478850647,-0.1281341442
19.92892957,16.17113924,2.401932326,-0.30383577,0.7388066026,-0.1725744349
20.22943377,16.38117299,2.334482049,-0.3181334137,0.7318628978,-0.2115197917
20.52864861,16.58839483,2.264348584,-0.3349410889,0.7266100571,-0.2415361442
20.82902884,16.79306508,2.190998849,-0.3535543535,0.7228566305,-0.2612556215
21.12951112,16.99548291,2.114041342,-0.37318406,0.72085684,-0.2697712796
21.4290812,17.19609234,2.033188072,-0.3930323071,0.7211006436,-0.267511132
21.72896624,17.39550459,1.94822203,-0.4123952001,0.7239821047,-0.2561528391
22.02878809,17.59444534,1.858982123,-0.4306984059,0.7296342507,-0.2372570956
22.32934856,17.79371654,1.765350005,-0.4475016353,0.7382005071,-0.2129144183
22.62947249,17.99415395,1.667242566,-0.4625146706,0.7495444711,-0.1854251088
22.92923212,18.19647653,1.564667044,-0.4755533749,0.7627296437,-0.1561534968
23.22928667,18.40121175,1.457763768,-0.4864750986,0.7770446088,-0.1257609545
23.52969503,18.6087535,1.346790328,-0.4951652758,0.7919470719,-0.09496752409
23.82886982,18.81938734,1.232113899,-0.5015462608,0.8069066202,-0.06441660123
24.1297133,19.03328125,1.114215836,-0.505573156,0.8213254741,-0.03451055334
24.4300704,19.25048843,0.9936860942,-0.5072339532,0.8347259872,-0.005673698001
24.72920775,19.47101432,0.8711725582,-0.5065815487,0.8470884304,0.0211234834
25.02919579,19.69480059,0.7473627193,-0.5037442204,0.8579266435,0.04536163558
25.32896256,19.92170681,0.6229665356,-0.4989135132,0.8671945866,0.06648800794
25.63013005,20.15157401,0.4986530578,-0.4923438961,0.8750009947,0.08403226901
25.92901373,20.38422821,0.3750234272,-0.4843355849,0.8814175039,0.09782323752
26.22923732,20.61951808,0.2525739327,-0.4752163176,0.8868922723,0.1077201385
26.5301733,20.85735232,0.131668077,-0.4653201845,0.8917955308,0.113910763
26.82901239,21.09764345,0.01256886621,-0.4549471426,0.8961281301,0.117122263
27.12858009,21.3403138,-0.1045501673,-0.4443461137,0.900244059,0.1178443118
27.4295547,21.58531995,-0.2196021732,-0.4337194554,0.9042647471,0.1166342406
27.72988033,21.83266501,-0.3325765099,-0.4232249947,0.9085716623,0.1139002632
28.03005648,22.08241846,-0.4435325191,-0.4129768046,0.9133769466,0.1101548187
28.33028841,22.33469234,-0.5525720859,-0.4030403579,0.9188331351,0.1059324346
28.62894797,22.58959575,-0.6598034725,-0.3934238451,0.9247732948,0.101965219
28.92941928,22.84729782,-0.7653504529,-0.384087825,0.9317597327,0.09851432955
29.22917986,23.1080672,-0.869354882,-0.3749584857,0.9398781684,0.09598288498
29.52977538,23.37225861,-0.9719563556,-0.3659271332,0.9495628044,0.09463640118
29.82903337,23.64046003,-1.073334325,-0.3568551111,0.9619236159,0.09463874507
30.12944937,23.9136009,-1.173724441,-0.3475362335,0.9781190184,0.09690461012
30.42904663,24.1936423,-1.273608301,-0.3375730181,1.004031366,0.1034516288
30.7296288,24.48541414,-1.374178452,-0.3260006644,1.053434543,0.12044772
31.02951765,24.79126976,-1.475279191,-0.3122309138,1.094129038,0.1345389378
31.32863951,25.10709885,-1.574583485,-0.2969181528,1.11304613,0.1411891541
31.62921262,25.42694013,-1.669666433,-0.2809513631,1.111479573,0.1439678102
31.92894268,25.74627525,-1.75902831,-0.2646826929,1.099230632,0.1483024197
32.22882771,26.06293521,-1.84203414,-0.2478694378,1.083184149,0.1574721903
32.53002071,26.37632405,-1.918410351,-0.229948072,1.067254339,0.1728755231
32.8293879,26.68657191,-1.987893935,-0.2103322105,1.052336287,0.193198995
33.12958407,26.99390599,-2.050096696,-0.1886487023,1.038142463,0.2159322076
33.42926335,27.29840298,-2.104550649,-0.1648947482,1.024091001,0.2369402735
33.73001981,27.60001277,-2.150860566,-0.1395483176,1.010259135,0.2515059849
34.02898264,27.89859112,-2.188861007,-0.1135650878,0.9963761177,0.2553140936
34.32885313,28.19388935,-2.218740611,-0.08830602164,0.9823835103,0.2445807798
34.62910438,28.48562767,-2.241134652,-0.0653907785,0.9683029656,0.2168428328
34.93005848,28.77357595,-2.257147113,-0.04646199686,0.9543470719,0.1718135559
35.22904181,29.05768516,-2.268291709,-0.03291735206,0.941185941,0.111862118
35.53122354,29.33823319,-2.276362812,-0.02570361483,0.9299127641,0.04184362723
35.82875824,29.61582687,-2.283276467,-0.02523441338,0.9212862854,-0.03182440555
36.1287744,29.8912042,-2.290928008,-0.03140939264,0.9152745092,-0.1024846041
36.42932272,30.16499349,-2.301079387,-0.04367111944,0.911253463,-0.1644040757
36.72918987,30.43759554,-2.315264014,-0.06107607357,0.9085754373,-0.2135395021
37.02884483,30.70914034,-2.33470145,-0.08238842634,0.90638957,-0.247770617
37.33018303,30.97946215,-2.360225263,-0.1061990325,0.9038140229,-0.2667075895
37.62915587,31.24797697,-2.392218165,-0.1310538507,0.8989926692,-0.2713938336
37.92973781,31.51368223,-2.430579621,-0.1555971452,0.8907870207,-0.2639494234
38.22893548,31.77551903,-2.474796202,-0.1787217257,0.8795457926,-0.2470712628
38.52934313,32.03271259,-2.524089709,-0.1996359251,0.8663176827,-0.2231519674
38.82931638,32.28500081,-2.57758641,-0.2178262998,0.8530243673,-0.1937842858
39.12866545,32.53260873,-2.634423958,-0.2329507277,0.8406426475,-0.1595701559
39.42853999,32.77591963,-2.693737383,-0.2447181677,0.8289415717,-0.1203818803
39.72894025,33.01528712,-2.754623371,-0.2528227489,0.8176609418,-0.07573124899
40.02997541,33.25106237,-2.816139252,-0.2569295207,0.8067947995,-0.0251720682
40.32941461,33.48365475,-2.877313633,-0.2566885712,0.7965564016,0.03130180769
40.62918186,33.71356778,-2.937156467,-0.2517627454,0.7872687438,0.09302253556
40.92886066,33.94139751,-2.994660482,-0.2418281473,0.7792358418,0.1593260074
41.22990203,34.16783819,-3.048798527,-0.2266033101,0.772929355,0.2280434864
41.52881145,34.39367526,-3.098527152,-0.20594292,0.7687470386,0.2955541011
41.82948065,34.61966431,-3.142783954,-0.1799561054,0.7665085351,0.3571097046
42.1294415,34.84636652,-3.180513608,-0.1491217289,0.7656884166,0.4080204229
42.42874527,35.07408438,-3.21075157,-0.114347022,0.7658334484,0.4444271465
42.72910905,35.30289529,-3.232735965,-0.07691022143,0.7666868885,0.4644523701
43.02851558,35.53283512,-3.245993021,-0.03818489923,0.7688869179,0.469827055
43.33029342,35.76403288,-3.250322698,0.000625504019,0.7727985133,0.4630305746
43.62852097,35.99670348,-3.24573028,0.03859206147,0.7787340947,0.4472441754
43.92911506,36.23107906,-3.232353935,0.07508141708,0.7863993329,0.4253700712
44.22879648,36.46737413,-3.21041032,0.109720634,0.7957583462,0.4000802871
44.52869606,36.70581153,-3.180148927,0.1423431233,0.8066463482,0.3732744116
44.83070087,36.94663599,-3.141818196,0.172921627,0.819122554,0.3463460059
45.12885261,37.19008592,-3.09565018,0.201500997,0.832859957,0.3199023574
45.42869925,37.43642572,-3.041848543,0.2281619707,0.8481672641,0.2944600362
45.72869468,37.68604603,-2.980560284,0.2529771037,0.865437695,0.2694165892
46.02904034,37.9395339,-2.911857132,0.2759806871,0.8854892601,0.2445523298
46.32872081,38.19782743,-2.835687631,0.2971429465,0.9098138674,0.2185862431
46.62897325,38.4624881,-2.751801498,0.3162619985,0.9411258752,0.1889936958
46.92900467,38.73719118,-2.659286321,0.3328003664,0.9913195088,0.1503431086
47.22916341,39.02355316,-2.558063474,0.3460513075,1.033532909,0.1101872921
47.52913094,39.31755201,-2.450355185,0.3556413492,1.053859589,0.07316803892
47.82896733,39.61356743,-2.339300398,0.3616028666,1.05388916,0.03983645702
48.12869024,39.90762663,-2.227558672,0.3641375541,1.043273946,0.00844226101
48.428684,40.19815461,-2.116862627,0.3633912032,1.029407015,-0.0229143461
48.7290659,40.48505709,-2.008325616,0.3593855721,1.015570104,-0.05546273141
49.0286665,40.76880193,-1.902813543,0.3520605014,1.002617771,-0.089523039
